check	status	detail
customBuildExperimentDebug_only	pass_planned	Target app id is io.github.ninbyo02.lami.customnpu; no standard/npuExperiment/galleryStackExperiment/release path is launched.
prompt_fixed_short	pass_planned	Prompt is fixed to Hi.
timeout_configured	pass_planned	Script timeout budget is 30 seconds for the future executable path.
cxx_decode_config_capability	pass	LiteRT-LM C++ source exposes DecodeConfig.SetMaxOutputTokens and RunDecode.
lami_lower_level_entrypoint	pass	customBuildExperimentDebug app-side JNI/CLI entry marker qairt244_lower_level_single_token_smoke_v1.
max_output_tokens_eq_1_static	pass	No execution allowed unless the runnable app path contains SetMaxOutputTokens(1).
explicit_run_requested	blocked_preflight	Execution requires --run.
custom_build_artifact_present	pass	Execution requires --artifact with a rebuilt custom stack.
normal_ui_disconnected	pass	This preflight does not touch normal UI inference.
verifier_requested	pass	Token timing verifier marker is required only when --verifier is supplied.
conversation_created	pass_not_run	No Conversation was created.
session_created	pass_not_run	No Session was created.
generate_response_called	pass_not_run	No generateResponse or token generation was run.
